Time(ms),Temperature(C),Pressure(Pa),ABS Altitude(m),Rel Altitude(m)
38107,16.00,101495.00,-14.14,-0.08
38202,16.00,101491.00,-13.81,0.25
38297,16.00,101494.00,-14.05,0.00
38393,16.00,101494.00,-14.05,0.00
38489,16.00,101493.00,-13.97,0.08
38585,16.10,101494.00,-14.05,0.00
38680,16.00,101492.00,-13.89,0.17
38776,16.00,101492.00,-13.89,0.17
38873,16.10,101495.00,-14.14,-0.08
38969,16.10,101493.00,-13.97,0.08
39064,16.00,101492.00,-13.89,0.17
39159,16.10,101489.00,-13.64,0.41
39256,16.10,101490.00,-13.72,0.33
39351,16.10,101492.00,-13.89,0.17
39447,16.10,101494.00,-14.05,0.00
39543,16.10,101495.00,-14.14,-0.08
39640,16.10,101494.00,-14.05,0.00
39735,16.10,101494.00,-14.05,0.00
39832,16.10,101499.00,-14.47,-0.41
39927,16.10,101494.00,-14.05,0.00
40024,16.10,101501.00,-14.64,-0.58
40120,16.10,101488.00,-13.56,0.50
40216,16.10,101496.00,-14.22,-0.17
40312,16.10,101494.00,-14.05,0.00
40408,16.10,101494.00,-14.05,0.00
40504,16.10,101494.00,-14.05,0.00
40600,16.10,101500.00,-14.55,-0.50
40696,16.10,101494.00,-14.05,0.00
40792,16.10,101486.00,-13.39,0.66
40887,16.10,101491.00,-13.81,0.25
40984,16.10,101498.00,-14.39,-0.33
41079,16.10,101494.00,-14.05,0.00
41176,16.10,101491.00,-13.81,0.25
41272,16.10,101499.00,-14.47,-0.41
41369,16.10,101495.00,-14.14,-0.08
41464,16.10,101487.00,-13.47,0.58
41560,16.10,101490.00,-13.72,0.33
41657,16.10,101495.00,-14.14,-0.08
41753,16.10,101497.00,-14.31,-0.25
41849,16.10,101491.00,-13.81,0.25
41947,16.90,101684.00,-29.82,-15.77
42045,16.60,101630.00,-25.35,-11.29
42142,16.90,101686.00,-29.99,-15.93
42241,16.90,101689.00,-30.24,-16.18
42337,16.10,101501.00,-14.64,-0.58
42433,16.00,101489.00,-13.64,0.41
42528,16.00,101485.00,-13.31,0.75
42624,16.00,101479.00,-12.81,1.24
42720,16.00,101478.00,-12.73,1.33
42815,16.00,101478.00,-12.73,1.33
42911,16.10,101488.00,-13.56,0.50
43008,16.20,101513.00,-15.63,-1.58
43105,16.30,101527.00,-16.79,-2.74
43202,16.60,101633.00,-25.59,-11.54
43300,16.80,101663.00,-28.08,-14.03
43398,16.80,101659.00,-27.75,-13.70
43496,16.80,101660.00,-27.83,-13.78
43593,16.80,101659.00,-27.75,-13.70
43692,16.80,101660.00,-27.83,-13.78
43789,16.80,101663.00,-28.08,-14.03
43886,16.80,101663.00,-28.08,-14.03
43983,16.60,101612.00,-23.85,-9.80
44080,16.50,101594.00,-22.36,-8.30
44177,16.50,101593.00,-22.27,-8.22
44273,16.50,101600.00,-22.86,-8.80
44370,16.50,101596.00,-22.52,-8.47
44467,16.50,101607.00,-23.44,-9.38
44565,16.50,101620.00,-24.52,-10.46
44662,16.60,101624.00,-24.85,-10.79
44761,16.60,101637.00,-25.92,-11.87
44858,16.60,101645.00,-26.59,-12.54
44956,16.60,101650.00,-27.00,-12.95
45053,16.70,101660.00,-27.83,-13.78
45151,16.70,101661.00,-27.92,-13.86
45249,16.70,101661.00,-27.92,-13.86
45346,16.70,101658.00,-27.67,-13.61
45445,16.70,101661.00,-27.92,-13.86
45542,16.70,101659.00,-27.75,-13.70
45640,16.70,101662.00,-28.00,-13.94
45737,16.70,101659.00,-27.75,-13.70
45836,16.70,101659.00,-27.75,-13.70
45933,16.60,101658.00,-27.67,-13.61
46031,16.60,101659.00,-27.75,-13.70
46129,16.60,101653.00,-27.25,-13.20
46231,16.60,101664.00,-28.16,-14.11
46328,16.60,101667.00,-28.41,-14.36
46432,16.60,101669.00,-28.58,-14.52
46529,16.60,101668.00,-28.49,-14.44
46631,16.70,101676.00,-29.16,-15.10
46730,16.70,101676.00,-29.16,-15.10
46831,16.70,101680.00,-29.49,-15.44
46928,16.60,101680.00,-29.49,-15.44
47030,16.60,101688.00,-30.15,-16.10
47127,16.60,101677.00,-29.24,-15.19
47228,16.60,101678.00,-29.32,-15.27
47327,16.60,101684.00,-29.82,-15.77
47428,16.60,101682.00,-29.66,-15.60
47526,16.60,101688.00,-30.15,-16.10
47627,16.60,101683.00,-29.74,-15.68
47725,16.60,101687.00,-30.07,-16.02
47826,16.60,101681.00,-29.57,-15.52
47925,16.60,101681.00,-29.57,-15.52
48025,16.50,101683.00,-29.74,-15.68
48123,16.50,101683.00,-29.74,-15.68
48226,16.50,101688.00,-30.15,-16.10
48328,16.50,101674.00,-28.99,-14.94
48427,16.50,101678.00,-29.32,-15.27
48529,16.50,101679.00,-29.41,-15.35
48627,16.50,101676.00,-29.16,-15.10
48730,16.50,101680.00,-29.49,-15.44
48828,16.50,101675.00,-29.08,-15.02
48930,16.50,101677.00,-29.24,-15.19
49029,16.50,101681.00,-29.57,-15.52
49131,16.50,101678.00,-29.32,-15.27
49229,16.50,101672.00,-28.83,-14.77
49332,16.50,101663.00,-28.08,-14.03
49429,16.50,101673.00,-28.91,-14.86
49527,16.50,101681.00,-29.57,-15.52
49625,16.50,101675.00,-29.08,-15.02
49728,16.50,101674.00,-28.99,-14.94
49825,16.50,101681.00,-29.57,-15.52
49924,16.50,101678.00,-29.32,-15.27
50021,16.40,101674.00,-28.99,-14.94
50118,16.40,101671.00,-28.74,-14.69
50216,16.30,101652.00,-27.17,-13.11
50314,16.30,101650.00,-27.00,-12.95
50412,16.30,101654.00,-27.33,-13.28
50509,16.30,101659.00,-27.75,-13.70
50608,16.20,101655.00,-27.42,-13.36
50705,16.20,101658.00,-27.67,-13.61
50803,16.20,101671.00,-28.74,-14.69
50900,16.20,101675.00,-29.08,-15.02
50999,16.20,101682.00,-29.66,-15.60
51101,16.20,101683.00,-29.74,-15.68
51205,16.10,101676.00,-29.16,-15.10
51302,16.10,101679.00,-29.41,-15.35
51405,16.10,101674.00,-28.99,-14.94
51503,16.00,101663.00,-28.08,-14.03
51601,16.00,101651.00,-27.09,-13.03
51703,16.00,101656.00,-27.50,-13.45
51807,16.00,101668.00,-28.49,-14.44
51905,15.90,101651.00,-27.09,-13.03
52002,15.90,101653.00,-27.25,-13.20
52101,15.90,101657.00,-27.58,-13.53
52198,15.90,101662.00,-28.00,-13.94
52295,16.00,101675.00,-29.08,-15.02
52393,16.00,101675.00,-29.08,-15.02
52491,15.90,101674.00,-28.99,-14.94
52589,15.90,101681.00,-29.57,-15.52
52686,15.90,101678.00,-29.32,-15.27
52785,15.90,101680.00,-29.49,-15.44
52882,15.90,101674.00,-28.99,-14.94
52980,15.90,101679.00,-29.41,-15.35
53078,15.90,101682.00,-29.66,-15.60
53176,15.80,101682.00,-29.66,-15.60
53273,15.80,101677.00,-29.24,-15.19
53371,15.80,101685.00,-29.91,-15.85
53469,15.80,101687.00,-30.07,-16.02
53567,15.70,101691.00,-30.40,-16.35
53669,15.70,101696.00,-30.82,-16.76
53768,15.70,101701.00,-31.23,-17.18
53865,15.70,101701.00,-31.23,-17.18
53963,15.70,101704.00,-31.48,-17.43
54061,15.70,101699.00,-31.07,-17.01
54158,15.70,101697.00,-30.90,-16.84
54256,15.70,101705.00,-31.56,-17.51
54353,15.70,101700.00,-31.15,-17.09
54452,15.70,101696.00,-30.82,-16.76
54549,15.70,101696.00,-30.82,-16.76
54647,15.70,101703.00,-31.40,-17.34
54745,15.70,101694.00,-30.65,-16.60
54843,15.70,101698.00,-30.98,-16.93
54942,15.70,101698.00,-30.98,-16.93
55040,15.70,101694.00,-30.65,-16.60
55138,15.70,101700.00,-31.15,-17.09
55235,15.70,101697.00,-30.90,-16.84
55337,15.70,101694.00,-30.65,-16.60
55436,15.70,101701.00,-31.23,-17.18
55533,15.80,101707.00,-31.73,-17.67
55631,15.80,101701.00,-31.23,-17.18
55729,15.80,101693.00,-30.57,-16.51
55827,15.80,101702.00,-31.31,-17.26
55924,15.80,101697.00,-30.90,-16.84
56022,15.80,101697.00,-30.90,-16.84
56120,15.80,101698.00,-30.98,-16.93
56217,15.80,101693.00,-30.57,-16.51
56315,15.80,101693.00,-30.57,-16.51
56413,15.80,101691.00,-30.40,-16.35
56511,15.80,101696.00,-30.82,-16.76
56608,15.80,101675.00,-29.08,-15.02
56707,15.70,101660.00,-27.83,-13.78
56804,15.70,101671.00,-28.74,-14.69
56902,15.70,101679.00,-29.41,-15.35
56999,15.70,101672.00,-28.83,-14.77
57095,14.80,101417.00,-7.65,6.40
57189,14.70,101407.00,-6.83,7.23
57283,14.70,101403.00,-6.49,7.56
57378,14.70,101409.00,-6.99,7.07
57473,14.70,101411.00,-7.16,6.90
57568,14.80,101412.00,-7.24,6.81
57662,14.80,101406.00,-6.74,7.31
57757,14.80,101415.00,-7.49,6.57
57851,14.80,101415.00,-7.49,6.57
57946,14.80,101409.00,-6.99,7.07
58041,14.80,101400.00,-6.24,7.81
58135,14.80,101400.00,-6.24,7.81
58230,14.80,101398.00,-6.07,7.98
58324,14.70,101376.00,-4.25,9.81
58420,14.90,101412.00,-7.24,6.81
58514,14.90,101406.00,-6.74,7.31
58608,14.90,101405.00,-6.66,7.40
58703,14.90,101400.00,-6.24,7.81
58798,15.00,101429.00,-8.65,5.40
58895,15.60,101572.00,-20.53,-6.48
58992,15.90,101682.00,-29.66,-15.60
59090,15.90,101682.00,-29.66,-15.60
59188,15.90,101682.00,-29.66,-15.60
59286,15.90,101682.00,-29.66,-15.60
59383,15.90,101686.00,-29.99,-15.93
59481,15.90,101689.00,-30.24,-16.18
59579,15.90,101688.00,-30.15,-16.10
59676,15.90,101692.00,-30.48,-16.43
59774,15.90,101685.00,-29.91,-15.85
59872,15.90,101689.00,-30.24,-16.18
59970,15.90,101689.00,-30.24,-16.18
60067,15.90,101683.00,-29.74,-15.68
60166,15.90,101692.00,-30.48,-16.43
60263,15.90,101692.00,-30.48,-16.43
60361,15.90,101682.00,-29.66,-15.60
60459,15.90,101686.00,-29.99,-15.93
60557,15.90,101681.00,-29.57,-15.52
60654,15.80,101680.00,-29.49,-15.44
60752,15.80,101682.00,-29.66,-15.60
60850,15.90,101688.00,-30.15,-16.10
60947,15.90,101687.00,-30.07,-16.02
61045,15.80,101690.00,-30.32,-16.27
61143,15.80,101685.00,-29.91,-15.85
61241,15.80,101682.00,-29.66,-15.60
61338,15.80,101681.00,-29.57,-15.52
61436,15.80,101687.00,-30.07,-16.02
61534,15.80,101689.00,-30.24,-16.18
61632,15.80,101686.00,-29.99,-15.93
61729,15.80,101686.00,-29.99,-15.93
61828,15.80,101691.00,-30.40,-16.35
61925,15.80,101687.00,-30.07,-16.02
62023,15.80,101689.00,-30.24,-16.18
62120,15.80,101686.00,-29.99,-15.93
62219,15.80,101687.00,-30.07,-16.02
